"Longitude";"Latitude";"Parameter.Name";"Arithmetic.Mean";"City.Name"
-115,56306;32,79222;"Ozone";0,049523;"El Centro"
-115,56306;32,79222;"PM2.5 - Local Conditions";7,051639;"El Centro"
-117,871036;36,487823;"PM2.5 - Local Conditions";8,697674;"Keeler"
-117,871036;36,487823;"PM2.5 - Local Conditions";8,944444;"Keeler"
-117,871036;36,487823;"PM2.5 - Local Conditions";9,104615;"Keeler"
-119,403889;35,054444;"Ozone";0,052649;"Maricopa"
-118,147294;35,050551;"Ozone";0,045941;"Mojave"
-118,147294;35,050551;"PM2.5 - Local Conditions";4,997458;"Mojave"
-119,041209;35,356092;"Ozone";0,042054;"Bakersfield"
-119,041209;35,356092;"PM2.5 - Local Conditions";20,1377;"Bakersfield"
-119,041209;35,356092;"PM2.5 - Local Conditions";19,077358;"Bakersfield"
-117,67296;35,62109;"PM2.5 - Local Conditions";5,52037;"Ridgecrest"
-118,999167;35,322928;"PM2.5 - Local Conditions";22,301695;"Bakersfield"
-119,016765;35,438869;"Ozone";0,040842;"Oildale"
-119,000974;35,331302;"Ozone";0,054848;"Bakersfield"
-118,789424;35,23668;"Ozone";0,042492;"Arvin"
-119,272606;35,503587;"Ozone";0,04265;"Shafter"
-119,566954;36,10218;"PM2.5 - Local Conditions";17,782143;"Hanford"
-119,64457;36,314399;"Ozone";0,054814;"Hanford"
-119,64457;36,314399;"PM2.5 - Local Conditions";15,231595;"Hanford"
-122,92229;39,0327;"Ozone";0,036262;"Lakeport"
-122,92229;39,0327;"Ozone";0,036384;"Lakeport"
-122,92229;39,0327;"Ozone";0,036384;"Lakeport"
-122,92229;39,0327;"PM2.5 - Local Conditions";3,932787;"Lakeport"
-117,92391;34,1365;"Ozone";0,045663;"Azusa"
-117,92391;34,1365;"PM2.5 - Local Conditions";9,658621;"Azusa"
-117,85036;34,14435;"Ozone";0,049978;"Glendora"
-118,45636;34,05111;"Ozone";0,041543;"West Los Angeles"
-118,31712;34,17605;"Ozone";0,047869;"Burbank"
-118,31712;34,17605;"PM2.5 - Local Conditions";13,49625;"Burbank"
-118,31712;34,17605;"PM2.5 - Local Conditions";13,096203;"Burbank"
-118,31712;34,17605;"PM2.5 - Local Conditions";13,49625;"Burbank"
-118,31712;34,17605;"PM2.5 - Local Conditions";17,552852;"Burbank"
-118,31712;34,17605;"PM2.5 - Local Conditions";17,552852;"Burbank"
-118,31712;34,17605;"PM2.5 - Local Conditions";17,406844;"Burbank"
-118,22688;34,06659;"Ozone";0,037763;"Los Angeles"
-118,22688;34,06659;"PM2.5 - Local Conditions";12,648148;"Los Angeles"
-118,22688;34,06659;"PM2.5 - Local Conditions";11,82;"Los Angeles"
-118,22688;34,06659;"PM2.5 - Local Conditions";19,619245;"Los Angeles"
-118,22688;34,06659;"PM2.5 - Local Conditions";19,619245;"Los Angeles"
-118,22688;34,06659;"PM2.5 - Local Conditions";19,507925;"Los Angeles"
-118,53276;34,19925;"Ozone";0,05306;"Reseda"
-118,53276;34,19925;"PM2.5 - Local Conditions";8,376;"Reseda"
-118,205;33,901389;"Ozone";0,039478;"Compton"
-118,205;33,901389;"PM2.5 - Local Conditions";13,855172;"Compton"
-118,205;33,901389;"PM2.5 - Local Conditions";13,855172;"Compton"
-118,205;33,901389;"PM2.5 - Local Conditions";12,489286;"Compton"
-118,06995;34,01194;"Ozone";0,040225;"Pico Rivera"
-118,06995;34,01194;"PM2.5 - Local Conditions";12,904348;"Pico Rivera"
-117,7514;34,06703;"Ozone";0,048905;"Pomona"
-118,1272;34,1326;"Ozone";0,050207;"Pasadena"
-118,18921;33,82376;"Ozone";0,038707;"Long Beach"
-118,18921;33,82376;"PM2.5 - Local Conditions";12,063855;"Long Beach"
-118,18921;33,82376;"PM2.5 - Local Conditions";11,635366;"Long Beach"
-118,18921;33,82376;"PM2.5 - Local Conditions";12,063855;"Long Beach"
-118,18921;33,82376;"PM2.5 - Local Conditions";13,780357;"Long Beach"
-118,18921;33,82376;"PM2.5 - Local Conditions";13,736905;"Long Beach"
-118,18921;33,82376;"PM2.5 - Local Conditions";13,780357;"Long Beach"
-118,17533;33,79236;"PM2.5 - Local Conditions";11,624096;"Long Beach"
-118,17533;33,79236;"PM2.5 - Local Conditions";11,996429;"Long Beach"
-118,17533;33,79236;"PM2.5 - Local Conditions";11,996429;"Long Beach"
-118,17533;33,79236;"PM2.5 - Local Conditions";12,920982;"Long Beach"
-118,22;33,8025;"Ozone";0,034233;"Long Beach"
-118,43043;33,9508;"Ozone";0,042388;"Los Angeles"
-118,5284;34,38344;"Ozone";0,058479;"Santa Clarita"
-118,131456;34,671394;"Ozone";0,052997;"Lancaster"
-120,01;36,866667;"Ozone";0,050031;"Madera"
-120,034203;36,953256;"Ozone";0,055013;"Madera"
-120,034203;36,953256;"PM2.5 - Local Conditions";14,654104;"Madera"
-122,520004;37,97231;"Ozone";0,029542;"San Rafael"
-122,520004;37,97231;"PM2.5 - Local Conditions";10,822535;"San Rafael"
-120,480993;37,308537;"PM2.5 - Local Conditions";16,198795;"Merced"
-121,731571;36,495767;"Ozone";0,035103;"Carmel Valley Village"
-121,731571;36,495767;"PM2.5 - Local Conditions";6,227217;"Carmel Valley Village"
-121,126371;36,209286;"Ozone";0,03787;"King City"
-121,126371;36,209286;"PM2.5 - Local Conditions";6,630539;"King City"
-121,637182;36,69676;"Ozone";0,033452;"Salinas"
-121,637182;36,69676;"PM2.5 - Local Conditions";4,841667;"Salinas"
-121,637182;36,69676;"PM2.5 - Local Conditions";6,50423;"Salinas"
-122,296189;38,310942;"Ozone";0,032997;"Napa"
-122,296189;38,310942;"PM2.5 - Local Conditions";11,717847;"Napa"
-121,056591;39,234331;"Ozone";0,0517;"Grass Valley"
-121,056591;39,234331;"PM2.5 - Local Conditions";5,822807;"Grass Valley"
-120,171291;39,338504;"PM2.5 - Local Conditions";8,268376;"Truckee"
-120,171291;39,338504;"PM2.5 - Local Conditions";7,752941;"Truckee"
-117,93845;33,83062;"Ozone";0,040808;"Anaheim"
-117,93845;33,83062;"PM2.5 - Local Conditions";10,586747;"Anaheim"
-117,93845;33,83062;"PM2.5 - Local Conditions";13,036179;"Anaheim"
-117,93845;33,83062;"PM2.5 - Local Conditions";12,995122;"Anaheim"
-117,93845;33,83062;"PM2.5 - Local Conditions";13,036179;"Anaheim"
-117,92568;33,67464;"Ozone";0,040294;"Costa Mesa"
-117,67593;33,63003;"Ozone";0,043691;"Mission Viejo"
-117,67593;33,63003;"PM2.5 - Local Conditions";7,371429;"Mission Viejo"
-117,95264;33,92513;"Ozone";0,037917;"La Habra"
-121,09959;38,93568;"Ozone";0,04261;"Auburn"
-121,09959;38,93568;"PM2.5 - Local Conditions";6,580992;"Auburn"
-121,09959;38,93568;"PM2.5 - Local Conditions";4,945294;"Auburn"
-121,09959;38,93568;"PM2.5 - Local Conditions";6,580992;"Auburn"
-120,952778;39,100278;"Ozone";0,043807;"Colfax"
-120,952778;39,100278;"Ozone";0,04366;"Colfax"
-120,952778;39,100278;"Ozone";0,043807;"Colfax"
-121,266312;38,745726;"Ozone";0,042804;"Roseville"
-121,266312;38,745726;"PM2.5 - Local Conditions";7,431034;"Roseville"
-121,30208;38,88563;"Ozone";0,040255;"Lincoln"
-120,938821;39,937099;"PM2.5 - Local Conditions";9,542718;"Quincy"
-120,471667;39,808333;"PM2.5 - Local Conditions";9,665957;"Portola"
-120,47069;39,81336;"PM2.5 - Local Conditions";14,664815;"Portola"
-115,8206;33,7411;"Ozone";0,052558;"Joshua Tree National Monument"
-116,85841;33,92086;"Ozone";0,067325;"Banning"
-117,40063;33,94603;"PM2.5 - Local Conditions";11,619231;"Riverside"
-115,4108;33,9397;"Ozone";0,050486;"Joshua Tree National Monument"
-116,83;33,945;"Ozone";0,057822;"Banning"
-116,83;33,945;"PM2.5 - Local Conditions";7,965979;"Banning"
-116,153383;33,56125;"Ozone";0,045309;"Torres-Martinez I.R."
-116,21537;33,70853;"Ozone";0,054032;"Indio"
-116,21537;33,70853;"PM2.5 - Local Conditions";6,736667;"Indio"
-116,54101;33,85275;"Ozone";0,060794;"Palm Springs"
-116,54101;33,85275;"PM2.5 - Local Conditions";5,092857;"Palm Springs"
-117,22764;33,78942;"Ozone";0,056122;"Perris"
-117,41601;33,99958;"Ozone";0,05451;"Rubidoux"
-117,41601;33,99958;"PM2.5 - Local Conditions";12,336585;"Rubidoux"
-117,41601;33,99958;"PM2.5 - Local Conditions";11,28125;"Rubidoux"
-117,41601;33,99958;"PM2.5 - Local Conditions";15,519466;"Rubidoux"
-117,493304;33,995638;"Ozone";0,053414;"Mira Loma"
-117,493304;33,995638;"PM2.5 - Local Conditions";14,660227;"Mira Loma"
-117,493304;33,995638;"PM2.5 - Local Conditions";14,318391;"Mira Loma"
-117,493304;33,995638;"PM2.5 - Local Conditions";14,660227;"Mira Loma"
-117,493304;33,995638;"PM2.5 - Local Conditions";10,383333;"Mira Loma"
-117,493304;33,995638;"PM2.5 - Local Conditions";18,498113;"Mira Loma"
-117,493304;33,995638;"PM2.5 - Local Conditions";18,395849;"Mira Loma"
-117,493304;33,995638;"PM2.5 - Local Conditions";18,498113;"Mira Loma"
-117,33098;33,67649;"Ozone";0,047251;"Lake Elsinore"
-114,602886;33,612406;"Ozone";0,040111;"Blythe"
-121,368014;38,613779;"Ozone";0,042072;"Arden-Arcade"
-121,368014;38,613779;"PM2.5 - Local Conditions";11,389112;"Arden-Arcade"
-121,368014;38,613779;"PM2.5 - Local Conditions";12,027586;"Arden-Arcade"
-121,492981;38,558228;"Ozone";0,020161;"Sacramento"
-121,492981;38,558228;"PM2.5 - Local Conditions";10,111765;"Sacramento"
-121,164457;38,683304;"Ozone";0,045099;"Folsom"
-121,164457;38,683304;"PM2.5 - Local Conditions";7,754545;"Folsom"
-121,506767;38,650783;"Ozone";0,038497;"Sacramento"
-121,458499;38,556326;"PM2.5 - Local Conditions";9,418261;"Sacramento"
-121,362121;36,844096;"Ozone";0,037276;"Hollister"
-121,362121;36,844096;"PM2.5 - Local Conditions";5,81526;"Hollister"
-117,024484;34,895007;"Ozone";0,049602;"Barstow"
-117,27235;34,2431;"Ozone";0,056202;"Crestline"
-117,69;34,037222;"PM2.5 - Local Conditions";13,425926;"Ontario"
-117,331433;34,510014;"Ozone";0,055536;"Victorville"
-117,62914;34,10374;"Ozone";0,052376;"Upland"
-117,397004;35,763873;"Ozone";0,043477;"Searles Valley"
-117,49201;34,10002;"Ozone";0,054434;"Fontana"
-117,49201;34,10002;"PM2.5 - Local Conditions";12,013793;"Fontana"
-117,285597;34,418073;"Ozone";0,049762;"Hesperia"
-117,14731;34,05977;"Ozone";0,060111;"Redlands"
-116,864444;34,264444;"PM2.5 - Local Conditions";12,842857;"Big Bear City"
-116,390556;34,071389;"Ozone";0,056662;"Yucca Valley"
-117,27411;34,10688;"Ozone";0,054607;"San Bernardino"
-117,27411;34,10688;"PM2.5 - Local Conditions";11,478571;"San Bernardino"
-117,059075;32,631231;"Ozone";0,041146;"Chula Vista"
-117,059075;32,631231;"PM2.5 - Local Conditions";9,490909;"Chula Vista"
-116,942092;32,791194;"Ozone";0,044493;"El Cajon"
-116,942092;32,791194;"PM2.5 - Local Conditions";10,696947;"El Cajon"
-116,942092;32,791194;"PM2.5 - Local Conditions";12,545907;"El Cajon"
-117,264088;32,952124;"Ozone";0,04314;"Del Mar"
-117,075325;33,127711;"Ozone";0,044717;"Escondido"
-117,075325;33,127711;"PM2.5 - Local Conditions";10,556303;"Escondido"
-117,075325;33,127711;"PM2.5 - Local Conditions";11,562191;"Escondido"
-117,075325;33,127711;"PM2.5 - Local Conditions";14,27907;"Escondido"
-116,768225;32,842242;"Ozone";0,054031;"Alpine"
-116,768225;32,842242;"PM2.5 - Local Conditions";8,48807;"Alpine"
-117,396158;33,217025;"Ozone";0,040976;"Camp Pendleton South"
-117,396158;33,217025;"PM2.5 - Local Conditions";8,427875;"Camp Pendleton South"
-117,149653;32,701492;"Ozone";0,031813;"San Diego"
-117,149653;32,701492;"PM2.5 - Local Conditions";10,355172;"San Diego"
-117,149653;32,701492;"PM2.5 - Local Conditions";11,928141;"San Diego"
-116,365203;32,725226;"Ozone";0,010647;"Boulevard"
-116,365203;32,725226;"Ozone";0,009917;"Boulevard"
-116,365203;32,725226;"PM2.5 - Local Conditions";2,264286;"Boulevard"
-116,365203;32,725226;"PM2.5 - Local Conditions";3,089286;"Boulevard"
-116,365203;32,725226;"PM2.5 - Local Conditions";0,480128;"Boulevard"
-117,123894;32,845467;"Ozone";0,043458;"San Diego"
-117,123894;32,845467;"PM2.5 - Local Conditions";8,316102;"San Diego"
-117,123894;32,845467;"PM2.5 - Local Conditions";8,998246;"San Diego"
-117,09023;33,362593;"Ozone";0,045944;"Pala"
-117,09023;33,362593;"PM2.5 - Local Conditions";8,682967;"Pala"
-117,09023;33,362593;"PM2.5 - Local Conditions";7,757692;"Pala"
-117,09023;33,362593;"PM2.5 - Local Conditions";8,346154;"Pala"
-116,937772;32,552164;"Ozone";0,037103;"San Diego"
-122,399044;37,765946;"Ozone";0,026602;"San Francisco"
-122,399044;37,765946;"PM2.5 - Local Conditions";10,073654;"San Francisco"
-121,268523;37,950741;"Ozone";0,038116;"Stockton"
-121,268523;37,950741;"PM2.5 - Local Conditions";16,279695;"Stockton"
-121,268523;37,950741;"PM2.5 - Local Conditions";11,158462;"Stockton"
-121,44056;37,6825;"Ozone";0,045604;"Tracy"
-120,690977;35,631629;"Ozone";0,038134;"El Paso de Robles (corporate name for Paso Robles)"
-120,56388;35,02083;"PM2.5 - Local Conditions";9,735112;"Nipomo"
-120,669861;35,256577;"Ozone";0,035832;"San Luis Obispo"
-120,669861;35,256577;"PM2.5 - Local Conditions";6,437391;"San Luis Obispo"
-120,584301;35,03331;"PM2.5 - Local Conditions";12,504444;"Arroyo Grande"
